,trap-date,trap,num-sqitos,ERRATICUS,PIPIENS,PIPIENSRESTUANS,RESTUANS,SALINARIUS,TARSALIS,TERRITANS,wnv,trap-lat,trap-long
0,2007-05-29,T002,2,0,0,1,1,0,0,0,0,41.95469,-87.800991
2,2007-05-29,T007,1,0,0,0,1,0,0,0,0,41.994991,-87.769279
3,2007-05-29,T015,5,0,0,1,1,0,0,0,0,41.974089,-87.824812
5,2007-05-29,T045,2,0,0,0,1,0,0,0,0,41.9216,-87.666455
6,2007-05-29,T046,1,0,0,0,1,0,0,0,0,41.891118,-87.65449100000001
7,2007-05-29,T048,3,0,0,1,1,0,0,0,0,41.867108,-87.654224
9,2007-05-29,T049,1,0,0,0,1,0,0,0,0,41.896282,-87.655232
10,2007-05-29,T050,1,0,0,1,0,0,0,0,0,41.919343,-87.694259
11,2007-05-29,T054,5,0,0,1,1,0,0,0,0,41.921965,-87.632085
13,2007-05-29,T086,2,0,0,1,1,0,0,0,0,41.688324,-87.676709
15,2007-05-29,T091,1,0,0,0,1,0,0,0,0,41.862292,-87.64886
16,2007-05-29,T094,3,0,0,0,1,0,0,0,0,41.720848,-87.666014
17,2007-05-29,T096,6,0,1,0,1,0,0,0,0,41.731922,-87.677512
19,2007-05-29,T129,3,0,0,1,1,0,0,0,0,41.891126,-87.61156
21,2007-05-29,T143,1,0,0,1,0,0,0,0,0,41.999128999999996,-87.795585
22,2007-05-29,T148,1,0,0,1,0,0,0,0,0,42.01743,-87.68776899999999
23,2007-05-29,T153,1,0,0,0,1,0,0,0,0,41.907645,-87.760886
24,2007-05-29,T159,1,0,0,0,1,0,0,0,0,41.732984,-87.649642
25,2007-06-05,T002,9,0,1,1,1,0,0,0,0,41.95469,-87.800991
28,2007-06-05,T009,2,0,0,0,1,0,0,0,0,41.981964000000005,-87.812827
29,2007-06-05,T011,1,0,0,0,1,0,0,0,0,41.944869,-87.832763
30,2007-06-05,T015,3,0,0,1,1,0,0,0,0,41.974089,-87.824812
32,2007-06-05,T016,1,0,0,0,1,0,0,0,0,42.011601,-87.81150600000001
33,2007-06-05,T019,1,0,0,0,1,0,0,0,0,41.94983,-87.69845699999999
34,2007-06-05,T025,1,0,0,0,1,0,0,0,0,41.979243,-87.750938
35,2007-06-05,T028,2,0,0,0,1,0,0,0,0,41.986921,-87.689778
36,2007-06-05,T031,1,0,0,1,0,0,0,0,0,41.801497999999995,-87.763416
37,2007-06-05,T033,3,0,0,0,1,0,0,0,0,41.906638,-87.701431
38,2007-06-05,T045,4,0,1,1,1,0,0,0,0,41.9216,-87.666455
41,2007-06-05,T046,1,0,0,0,1,0,0,0,0,41.891118,-87.65449100000001
42,2007-06-05,T048,4,0,1,1,1,0,0,0,0,41.867108,-87.654224
45,2007-06-05,T049,2,0,0,0,1,0,0,0,0,41.896282,-87.655232
46,2007-06-05,T050,2,0,0,1,1,0,0,0,0,41.919343,-87.694259
48,2007-06-05,T054,3,0,0,0,1,0,0,0,0,41.921965,-87.632085
49,2007-06-05,T086,4,0,0,0,1,0,0,0,0,41.688324,-87.676709
50,2007-06-05,T089,1,0,0,0,1,0,0,0,0,41.723195000000004,-87.64997
51,2007-06-05,T090,8,0,0,1,1,0,0,0,0,41.868077,-87.666901
53,2007-06-05,T092,1,0,0,1,0,0,0,0,0,41.869215999999994,-87.627561
54,2007-06-05,T094,2,0,0,1,0,0,0,0,0,41.720848,-87.666014
55,2007-06-05,T096,3,0,1,1,1,0,0,0,0,41.731922,-87.677512
58,2007-06-05,T135,7,0,1,1,1,0,0,0,0,41.662014,-87.72460799999999
61,2007-06-05,T141,3,0,0,1,1,0,0,0,0,41.961743,-87.76007
63,2007-06-05,T142,4,0,0,1,1,0,0,0,0,41.953067,-87.776792
65,2007-06-05,T143,11,0,0,1,1,0,0,0,0,41.999128999999996,-87.795585
67,2007-06-05,T145,3,0,0,0,1,0,0,0,0,41.878114000000004,-87.629798
68,2007-06-05,T146,3,0,0,1,1,0,0,0,0,41.958271,-87.702575
70,2007-06-05,T147,1,0,0,0,1,0,0,0,0,41.932094,-87.700117
71,2007-06-05,T149,1,0,0,1,0,0,0,0,0,41.994469,-87.667736
72,2007-06-05,T150,2,0,0,0,1,0,0,0,0,42.006858,-87.675919
73,2007-06-05,T151,11,0,0,1,1,0,0,0,0,41.916265,-87.800515
75,2007-06-05,T152,1,0,0,0,1,0,0,0,0,41.846075,-87.716277
76,2007-06-05,T153,3,0,0,0,1,0,0,0,0,41.907645,-87.760886
77,2007-06-05,T154,1,0,0,0,1,0,0,0,0,41.918704999999996,-87.752329
78,2007-06-05,T158,11,0,0,1,1,0,0,0,0,41.682587,-87.707973
80,2007-06-05,T159,1,0,0,0,1,0,0,0,0,41.732984,-87.649642
81,2007-06-05,T162,1,0,0,1,0,0,0,0,0,41.725516999999996,-87.61425799999999
82,2007-06-05,T218,3,0,0,1,1,0,0,0,0,41.948167,-87.730698
84,2007-06-05,T220,1,0,0,0,1,0,0,0,0,41.963976,-87.69181
85,2007-06-26,T001,1,0,0,1,0,0,0,0,0,41.953705,-87.733974
86,2007-06-26,T002,6,0,0,1,1,1,0,0,0,41.95469,-87.800991
89,2007-06-26,T003,2,0,0,0,1,0,0,0,0,41.964242,-87.757639
90,2007-06-26,T006,2,0,0,1,1,0,0,0,0,41.990284,-87.797127
