,trap,ERRATICUS,PIPIENS,RESTUANS,SALINARIUS,TARSALIS,TERRITANS,PIPIENSRESTUANS,wnv,Date,Latitude,Longitude,Min_Station_Distance,Closest_Station,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,CodeSum,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Min_Spray_Distance,Spray,closest_spray_all
0,T002,0,0,1,0,0,0,1,0,2007-05-29,41.955,-87.801,7.337331426919999,1,1,88,60,74.0,58,65.0,BR HZ,0.0,0.0,29.39,30.11,5.8,18,6.5,,0,0.1802629371261451
1,T007,0,0,1,0,0,0,0,0,2007-05-29,41.995,-87.76899999999999,8.44355616196,1,1,88,60,74.0,58,65.0,BR HZ,0.0,0.0,29.39,30.11,5.8,18,6.5,,0,0.20291089545008587
2,T015,0,0,1,0,0,0,1,0,2007-05-29,41.974,-87.825,5.74706717582,1,1,88,60,74.0,58,65.0,BR HZ,0.0,0.0,29.39,30.11,5.8,18,6.5,,0,0.006064115184154379
3,T045,0,0,1,0,0,0,0,0,2007-05-29,41.922,-87.666,10.3822649411,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,0.6359576825745957
4,T046,0,0,1,0,0,0,0,0,2007-05-29,41.891000000000005,-87.654,8.83720536293,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,2.276280873027733
5,T048,0,0,1,0,0,0,1,0,2007-05-29,41.867,-87.654,7.53941661205,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,2.7460847568882163
6,T049,0,0,1,0,0,0,0,0,2007-05-29,41.896,-87.655,9.09369521734,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,1.9653535412815655
7,T050,0,0,0,0,0,0,1,0,2007-05-29,41.919,-87.694,9.654690980449999,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,0.008301150227724588
8,T054,0,0,1,0,0,0,1,0,2007-05-29,41.922,-87.632,11.2445071398,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,2.377939935135807
9,T086,0,0,1,0,0,0,1,0,2007-05-29,41.688,-87.677,7.795806064580001,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,2.014821801790106
10,T091,0,0,1,0,0,0,0,0,2007-05-29,41.861999999999995,-87.649,7.468863139450001,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,3.09549853646791
11,T094,0,0,1,0,0,0,0,0,2007-05-29,41.721000000000004,-87.666,6.314798485830001,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,0.16719317191679503
12,T096,0,1,1,0,0,0,0,0,2007-05-29,41.732,-87.678,5.339621773819999,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,0.3633307204207894
13,T129,0,0,1,0,0,0,1,0,2007-05-29,41.891000000000005,-87.61200000000001,10.233401593,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,3.911638381720372
14,T143,0,0,0,0,0,0,1,0,2007-05-29,41.998999999999995,-87.796,7.05863876455,1,1,88,60,74.0,58,65.0,BR HZ,0.0,0.0,29.39,30.11,5.8,18,6.5,,0,0.015506128807983285
15,T148,0,0,0,0,0,0,1,0,2007-05-29,42.016999999999996,-87.68799999999999,12.702749346600001,1,1,88,60,74.0,58,65.0,BR HZ,0.0,0.0,29.39,30.11,5.8,18,6.5,,0,1.3551660610394018
16,T153,0,0,1,0,0,0,0,0,2007-05-29,41.908,-87.76100000000001,8.43273825415,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,0.0062476867714867665
17,T159,0,0,1,0,0,0,0,0,2007-05-29,41.733000000000004,-87.65,6.41565901265,2,2,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,,0,0.02222924007655043
18,T002,0,1,1,0,0,0,1,0,2007-06-05,41.955,-87.801,7.337331426919999,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.1802629371261451
19,T009,0,0,1,0,0,0,0,0,2007-06-05,41.982,-87.81299999999999,6.24364423775,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.044019055644124123
20,T011,0,0,1,0,0,0,0,0,2007-06-05,41.945,-87.833,6.19970925636,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.7633954582231183
21,T015,0,0,1,0,0,0,1,0,2007-06-05,41.974,-87.825,5.74706717582,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.006064115184154379
22,T016,0,0,1,0,0,0,0,0,2007-06-05,42.012,-87.81200000000001,6.3384097730999995,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.025465125679229556
23,T019,0,0,1,0,0,0,0,0,2007-06-05,41.95,-87.698,11.6564140423,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.3115925482654627
24,T025,0,0,1,0,0,0,0,0,2007-06-05,41.979,-87.751,9.4362977905,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,1.0505886120392152
25,T028,0,0,1,0,0,0,0,0,2007-06-05,41.986999999999995,-87.69,12.5238370762,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.045721240055445096
26,T031,0,0,0,0,0,0,1,0,2007-06-05,41.801,-87.76299999999999,1.1808715949500002,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,1.6778774840264137
